person_id,meet_id,squat1_kg,squat2_kg,squat3_kg,best3_squat_kg,bench1_kg,bench2_kg,bench3_kg,best3_bench_kg,deadlift1_kg,deadlift2_kg,deadlift3_kg,best3_bench_kg,total_kg
3575,2,,,,,130.0,135.0,142.5,142.5,,,,142.5,142.5
3578,2,205.0,215.0,222.5,222.5,135.0,142.5,-147.5,142.5,230.0,245.0,-250.0,142.5,610.0
3583,2,115.0,132.5,140.0,140.0,82.5,90.0,97.5,97.5,160.0,172.5,177.5,97.5,415.0
3585,2,200.0,210.0,-220.0,210.0,120.0,-130.0,-130.0,120.0,250.0,260.0,-270.0,120.0,590.0
3588,2,290.0,305.0,310.0,310.0,150.0,155.0,-160.0,155.0,310.0,-362.5,-362.5,155.0,775.0
3598,2,165.0,170.0,-175.0,170.0,105.0,110.0,-115.5,110.0,180.0,192.5,-202.5,110.0,472.5
3599,2,370.0,400.0,-425.0,400.0,60.0,190.0,-220.0,190.0,210.0,230.0,245.0,190.0,835.0
3602,2,,,,,205.0,212.5,-225.0,212.5,,,,212.5,212.5
3605,2,205.0,217.5,232.5,232.5,132.5,137.5,145.0,145.0,217.5,230.0,240.0,145.0,617.5
3611,2,,,,,240.0,250.0,260.0,260.0,,,,260.0,260.0
3611,2,260.0,285.0,305.0,305.0,185.0,195.0,205.0,205.0,250.0,275.0,290.0,205.0,800.0
3614,2,,,,,167.5,177.5,-185.0,177.5,,,,177.5,177.5
3616,2,250.0,265.0,270.0,270.0,155.0,165.0,170.0,170.0,240.0,252.5,260.0,170.0,700.0
3619,2,283.0,-300.0,300.0,300.0,150.0,160.0,165.0,165.0,270.0,285.0,295.0,165.0,760.0
3625,2,,,,,135.0,140.0,-145.0,140.0,,,,140.0,140.0
3633,2,320.0,335.0,345.0,345.0,180.0,195.0,200.0,200.0,300.0,315.0,325.0,200.0,870.0
3635,2,-185.0,185.0,200.0,200.0,105.0,110.0,-115.0,110.0,200.0,-220.0,220.0,110.0,530.0
3638,2,250.0,265.0,275.0,275.0,115.0,125.0,135.0,135.0,290.0,307.5,318.0,135.0,728.0
3639,2,190.0,210.0,-220.0,210.0,110.0,120.0,130.0,130.0,200.0,215.0,230.0,130.0,570.0
3647,2,180.0,-190.0,-195.0,180.0,115.0,125.0,127.5,127.5,185.0,195.0,200.0,127.5,507.5
3653,2,-300.0,300.0,320.0,320.0,180.0,195.0,202.5,202.5,250.0,265.0,277.5,202.5,800.0
3656,2,185.0,205.0,,205.0,110.0,-120.0,,110.0,175.0,-207.5,,110.0,490.0
3657,2,87.5,95.0,-100.0,95.0,55.0,60.0,-63.0,60.0,115.0,122.5,127.5,60.0,282.5
3658,2,225.0,237.5,250.0,250.0,-150.0,157.5,-170.0,157.5,255.0,267.5,-280.0,157.5,675.0
3659,2,310.0,320.0,-330.0,320.0,215.0,220.0,227.5,227.5,260.0,272.5,280.5,227.5,828.0
3666,2,310.0,330.0,340.0,340.0,190.0,200.0,210.0,210.0,240.0,260.0,270.0,210.0,820.0
3669,2,150.0,185.0,200.0,200.0,90.0,95.0,-100.0,95.0,215.0,230.0,240.0,95.0,535.0
